"Age","2018-2019 Males Thousand","2018-2019 Females Thousand","2022-2023 Males Thousand","2022-2023 Females Thousand","2023-2024 Males Thousand","2023-2024 Females Thousand"
"0","2.41","2.21","2.42","2.29","2.67","2.48"
"1","2.89","2.76","2.98","2.75","3.04","2.95"
"2","2.96","2.84","2.97","2.80","3.05","2.93"
"3","2.94","2.94","3.21","3.18","3.22","3.08"
"4","3.11","2.81","3.42","3.32","3.38","3.19"
"5","2.76","2.64","3.31","3.15","3.35","3.05"
"6","2.47","2.43","3.13","2.97","3.08","2.97"
"7","2.31","2.18","2.93","2.85","3.00","2.79"
"8","2.24","2.13","2.83","2.73","2.89","2.76"
"9","2.10","2.02","2.73","2.57","2.81","2.70"
"10","2.13","1.95","2.61","2.41","2.64","2.51"
"11","1.91","1.96","2.59","2.33","2.65","2.57"
"12","1.82","1.70","2.35","2.25","2.52","2.43"
"13","1.75","1.68","2.18","2.16","2.31","2.11"
"14","1.80","1.80","2.33","2.23","2.36","2.37"
"15","2.00","2.04","2.37","2.39","2.62","2.54"
"16","2.14","2.16","2.31","2.21","2.53","2.65"
"17","4.10","3.76","2.90","2.80","3.36","3.28"
"18","9.89","7.97","13.35","11.69","12.40","12.11"
"19","10.83","8.71","16.19","12.60","12.48","11.17"
"20","8.72","7.53","13.95","10.69","9.61","8.21"
"21","9.75","8.85","13.74","11.24","10.87","9.73"
"22","13.67","12.55","17.29","15.66","15.13","14.78"
"23","15.05","13.73","18.02","17.47","16.69","16.56"
"24","13.65","13.10","18.24","18.73","15.27","15.67"
"25","12.28","12.73","18.06","19.12","15.63","16.71"
"26","11.36","12.02","17.10","18.35","14.81","16.11"
"27","10.63","11.30","15.86","17.00","13.35","14.69"
"28","9.94","10.75","14.50","15.18","12.23","13.24"
"29","9.26","9.49","13.35","13.67","11.03","11.86"
"30","8.13","8.51","12.33","12.24","9.74","10.40"
"31","7.04","7.25","10.71","10.34","8.96","9.13"
"32","6.36","6.24","9.68","9.07","7.73","7.53"
"33","5.63","5.51","9.09","8.23","7.24","6.90"
"34","4.91","4.93","8.08","7.28","6.89","6.51"
"35","4.54","4.36","7.31","6.56","6.32","5.73"
"36","4.26","4.14","6.83","5.80","5.96","5.26"
"37","3.78","3.68","6.05","5.33","5.27","4.97"
"38","3.46","3.18","5.58","4.83","5.03","4.50"
"39","3.20","3.00","5.15","4.42","4.64","4.22"
"40","2.93","2.76","4.75","4.07","4.29","3.85"
"41","2.47","2.45","4.17","3.42","3.87","3.50"
"42","2.29","2.17","3.71","3.16","3.53","3.15"
"43","2.21","1.99","3.25","2.81","3.09","2.84"
"44","1.97","1.93","2.78","2.45","2.86","2.55"
"45","1.89","1.83","2.36","2.19","2.26","2.06"
"46","1.75","1.73","2.11","1.95","1.96","1.86"
"47","1.61","1.62","1.99","1.90","1.76","1.81"
"48","1.43","1.50","1.77","1.72","1.65","1.61"
"49","1.36","1.48","1.70","1.67","1.53","1.55"
"50","1.28","1.41","1.58","1.60","1.43","1.59"
"51","1.24","1.28","1.49","1.64","1.40","1.62"
"52","1.18","1.30","1.31","1.52","1.31","1.67"
"53","1.12","1.34","1.23","1.46","1.32","1.77"
"54","1.17","1.47","1.17","1.45","1.25","1.68"
"55","1.18","1.66","1.08","1.38","0.98","1.30"
"56","1.15","1.67","1.10","1.46","0.87","1.21"
"57","1.07","1.45","1.05","1.48","0.87","1.27"
"58","1.04","1.54","1.02","1.53","0.90","1.33"
"59","1.16","1.61","1.03","1.61","0.92","1.40"
"60","1.19","1.58","1.18","1.54","1.15","1.56"
"61","1.26","1.58","0.97","1.36","1.01","1.44"
"62","1.23","1.54","0.92","1.38","0.93","1.31"
"63","1.22","1.57","0.92","1.28","0.87","1.37"
"64","1.19","1.41","0.88","1.29","0.89","1.25"
"65","1.21","1.24","0.96","1.38","0.95","1.29"
"66","1.03","1.09","1.13","1.45","1.02","1.37"
"67","0.92","0.97","0.96","1.33","0.95","1.21"
"68","0.84","0.79","0.99","1.14","0.93","1.15"
"69","0.80","0.78","0.83","1.04","0.86","1.05"
"70","0.71","0.71","0.75","0.91","0.78","0.91"
"71","0.61","0.58","0.62","0.77","0.69","0.74"
"72","0.57","0.53","0.62","0.69","0.61","0.66"
"73","0.43","0.43","0.56","0.62","0.58","0.61"
"74","0.37","0.38","0.46","0.55","0.51","0.58"
"75","0.32","0.30","0.46","0.49","0.44","0.52"
"76","0.28","0.27","0.37","0.42","0.38","0.39"
"77","0.27","0.24","0.29","0.35","0.31","0.37"
"78","0.22","0.23","0.24","0.31","0.27","0.28"
"79","0.19","0.19","0.20","0.24","0.23","0.26"
"80","0.14","0.17","0.20","0.22","0.19","0.23"
"81","0.14","0.15","0.16","0.18","0.17","0.19"
"82","0.10","0.11","0.14","0.18","0.15","0.16"
"83","0.09","0.10","0.11","0.15","0.12","0.13"
"84","0.08","0.08","0.09","0.14","0.11","0.11"
"85","0.07","0.07","0.09","0.12","0.06","0.11"
"86","0.06","0.05","0.07","0.10","0.06","0.09"
"87","0.03","0.05","0.06","0.07","0.05","0.07"
"88","0.03","0.04","0.05","0.07","0.04","0.06"
"89","0.03","0.02","0.03","0.06","0.04","0.04"
"90","0.02","0.02","0.02","0.04","0.02","0.03"
"91","0.01","0.02","0.02","0.04","0.02","0.02"
"92","0.01","0.01","0.01","0.02","0.01","0.02"
"93","0.00","0.01","0.01","0.01","0.01","0.01"
"94","0.01","0.01","0.01","0.01","0.01","0.01"
"95","0.00","0.00","0.00","0.01","0.00","0.01"
"96","0.00","0.01","0.00","0.01","0.00","0.01"
"97","0.00","0.00","0.00","0.00","0.00","0.00"
"98","0.00","0.00","0.00","0.00","0.00","0.00"
"99","0.00","0.00","0.00","0.00","0.00","0.00"
"100+","0.00","0.01","0.00","0.00","0.00","0.00"
